timestamp(ms),time,signal,
"1749713027.902","1000","180.79",
"1749713027.913","0",,
"1749713027.914",,"219.52",
"1749713027.923","0",,
"1749713027.924",,"245.35",
"1749713027.935","1000","180.79",
"1749713027.946","0","232.44",
"1749713027.957","0",,
"1749713027.958",,"258.26",
"1749713027.968","1000","167.87",
"1749713027.979","0","232.44",
"1749713027.99","0","271.18",
"1749713028.001","1000",,
"1749713028.002",,"180.79",
"1749713028.011","0",,
"1749713028.012",,"206.61",
"1749713028.023","0","245.35",
"1749713028.034","1000",,
"1749713028.035",,"167.87",
"1749713028.045","0",,
"1749713028.046",,"232.44",
"1749713028.055","0",,
"1749713028.056",,"232.44",
"1749713028.067","1000","180.79",
"1749713028.078","0","232.44",
"1749713028.089","0",,
"1749713028.09",,"271.18",
"1749713028.1","1000","167.87",
"1749713028.111","0","232.44",
"1749713028.122","0",,
"1749713028.123",,"258.26",
"1749713028.133","1000",,
"1749713028.134",,"193.7",
"1749713028.144","1000","193.7",
"1749713028.155","0","361.57",
"1749713028.166","0",,
"1749713028.167",,"335.74",
"1749713028.177","0",,
"1749713028.178",,"232.44",
"1749713028.188","1000","129.13",
"1749713028.199","0","206.61",
"1749713028.21","0",,
"1749713028.211",,"271.18",
"1749713028.222","1000","153.88",
"1749713028.233","0","232.44",
"1749713028.244","0","258.26",
"1749713028.255","1000",,
"1749713028.256",,"180.79",
"1749713028.265","0",,
"1749713028.266",,"206.61",
"1749713028.277","0","245.35",
"1749713028.288","1000",,
"1749713028.289",,"167.87",
"1749713028.299","0",,
"1749713028.3",,"232.44",
"1749713028.309","0",,
"1749713028.31",,"232.44",
"1749713028.321","1000","180.79",
"1749713028.332","0","232.44",
"1749713028.343","0",,
"1749713028.344",,"258.26",
"1749713028.354","1000","180.79",
"1749713028.365","0","219.52",
"1749713028.376","0","271.18",
"1749713028.387","1000",,
"1749713028.388",,"180.79",
"1749713028.398","1000","193.7",
"1749713028.409","0","348.66",
"1749713028.42","0","348.66",
"1749713028.431","0",,
"1749713028.432",,"219.52",
"1749713028.442","1000","142.05",
"1749713028.453","0","219.52",
"1749713028.464","0",,
"1749713028.465",,"258.26",
"1749713028.475","1000",,
"1749713028.476",,"167.87",
"1749713028.486","1000","193.7",
"1749713028.497","0","361.57",
"1749713028.508","0",,
"1749713028.509",,"335.74",
"1749713028.519","0",,
"1749713028.52",,"213.07",
"1749713028.531","1000","154.96",
"1749713028.542","0","206.61",
"1749713028.553","0",,
"1749713028.554",,"258.26",
"1749713028.564","1000","154.96",
"1749713028.575","0","232.44",
"1749713028.586","0","258.26",
"1749713028.597","1000",,
"1749713028.598",,"180.79",
"1749713028.607","0",,
"1749713028.608",,"206.61",
"1749713028.619","0","258.26",
"1749713028.63","1000",,
"1749713028.631",,"167.87",
"1749713028.641","0",,
"1749713028.642",,"219.52",
"1749713028.651","0",,
"1749713028.652",,"232.44",
"1749713028.663","1000","193.7",
"1749713028.674","0","219.52",
"1749713028.685","0",,
"1749713028.686",,"271.18",
"1749713028.696","1000","167.87",
"1749713028.707","0","232.44",
"1749713028.718","0","258.26",
"1749713028.729","1000",,
"1749713028.73",,"180.79",
"1749713028.74","1000","193.7",
"1749713028.751","0","348.66",
"1749713028.762","0",,
"1749713028.763",,"348.66",
"1749713028.773","0",,
"1749713028.774",,"219.52",
"1749713028.784","1000","142.05",
"1749713028.795","0","219.52",
"1749713028.806","0",,
"1749713028.807",,"258.26",
"1749713028.818","1000","167.87",
"1749713028.828","1000","193.7",
"1749713028.839","0","361.57",
"1749713028.85","0",,
"1749713028.851",,"335.74",
"1749713028.861","0",,
"1749713028.862",,"201.23",
"1749713028.873","1000","154.96",
"1749713028.884","0","206.61",
"1749713028.896","0","258.26",
